number,name,radius,theta,phi,deg_theta,deg_phi,x,y,z,azim_proj_x,azim_proj_y
0,GND,1,1.5707963267948966,1.5707963267948966,90,90,0.0,1.0,0.0,0.0,1.570796326795
1,Fp1,1,-1.5707963267948966,-1.2566370614359172,-90,-72,-0.309016994375,0.951056516295,0.0,-0.485402759681,1.493916082371
2,Fz,1,0.7853981633974483,1.5707963267948966,45,90,0.0,0.707106781187,0.707106781187,0.0,0.785398163397
3,F3,1,-1.0471975511965976,-0.8901179185171081,-60,-51,-0.545007445769,0.67302814507,0.5,-0.659022772425,0.81382534776
4,F7,1,-1.5707963267948966,-0.6283185307179586,-90,-36,-0.809016994375,0.587785252292,0.0,-1.270800923079,0.923290915245
5,FT9,1,-1.9722220547535925,-0.3141592653589793,-113,-18,-0.875452139157,0.284451643121,-0.390731128489,-1.875694636754,0.6094501316
6,FC5,1,-1.2042771838760873,-0.3839724354387525,-69,-22,-0.865600698388,0.34972538325,0.358367949545,-1.116586361313,0.45113017338
7,FC1,1,-0.5410520681182421,-0.8028514559173916,-31,-46,-0.357775509841,0.370487385973,0.857167300702,-0.375846347972,0.389200286653
8,C3,1,-0.7853981633974483,0.0,-45,0,-0.707106781187,-0.0,0.707106781187,-0.785398163397,-0.0
9,T7,1,-1.5707963267948966,0.0,-90,0,-1.0,-0.0,0.0,-1.570796326795,-0.0
10,TP9,1,-1.9722220547535925,0.3141592653589793,-113,18,-0.875452139157,-0.284451643121,-0.390731128489,-1.875694636754,-0.6094501316
11,CP5,1,-1.2042771838760873,0.3665191429188092,-69,21,-0.871572412739,-0.334565303179,0.358367949545,-1.124289606944,-0.43157434507
12,CP1,1,-0.5410520681182421,0.8028514559173916,-31,46,-0.357775509841,-0.370487385973,0.857167300702,-0.375846347972,-0.389200286653
13,Pz,1,0.7853981633974483,-1.5707963267948966,45,-90,0.0,-0.707106781187,0.707106781187,0.0,-0.785398163397
14,P3,1,-1.0471975511965976,0.8901179185171081,-60,51,-0.545007445769,-0.67302814507,0.5,-0.659022772425,-0.81382534776
15,P7,1,-1.5707963267948966,0.6283185307179586,-90,36,-0.809016994375,-0.587785252292,0.0,-1.270800923079,-0.923290915245
16,O1,1,-1.5707963267948966,1.2566370614359172,-90,72,-0.309016994375,-0.951056516295,0.0,-0.485402759681,-1.493916082371
17,Oz,1,1.5707963267948966,-1.5707963267948966,90,-90,0.0,-1.0,0.0,0.0,-1.570796326795
18,O2,1,1.5707963267948966,-1.2566370614359172,90,-72,0.309016994375,-0.951056516295,0.0,0.485402759681,-1.493916082371
19,P4,1,1.0471975511965976,-0.8901179185171081,60,-51,0.545007445769,-0.67302814507,0.5,0.659022772425,-0.81382534776
20,P8,1,1.5707963267948966,-0.6283185307179586,90,-36,0.809016994375,-0.587785252292,0.0,1.270800923079,-0.923290915245
21,TP10,1,1.9722220547535925,-0.3141592653589793,113,-18,0.875452139157,-0.284451643121,-0.390731128489,1.875694636754,-0.6094501316
22,CP6,1,1.2042771838760873,-0.3665191429188092,69,-21,0.871572412739,-0.334565303179,0.358367949545,1.124289606944,-0.43157434507
23,CP2,1,0.5410520681182421,-0.8028514559173916,31,-46,0.357775509841,-0.370487385973,0.857167300702,0.375846347972,-0.389200286653
24,Cz,1,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
